Date,OIL,GOLD,USDIDR,SP500,IHSG,VIX,CPI,BI_rate,US_rate
2014-04-03,100.29000091552734,1284.4000244140625,11330.0,1888.77001953125,4891.12939453125,13.369999885559082,6.39492882396559,7.5,0.09
2014-04-04,101.13999938964844,1303.199951171875,11375.0,1865.0899658203125,4857.7548828125,13.960000038146973,6.39492882396559,7.5,0.09
2014-04-07,100.44000244140625,1298.0,11310.0,1845.0400390625,4920.84765625,15.569999694824219,6.39492882396559,7.5,0.09
2014-04-08,102.55999755859375,1308.699951171875,11295.0,1851.9599609375,4921.21240234375,14.890000343322754,6.39492882396559,7.5,0.09
2014-04-09,103.5999984741211,1305.5,11295.0,1872.1800537109375,4921.21240234375,13.819999694824219,6.39492882396559,7.5,0.09
2014-04-10,103.4000015258789,1320.0999755859375,11363.0,1833.0799560546875,4765.54345703125,15.890000343322754,6.39492882396559,7.5,0.09
2014-04-11,103.73999786376953,1318.699951171875,11415.0,1815.68994140625,4816.388671875,17.030000686645508,6.39492882396559,7.5,0.09
2014-04-14,104.05000305175781,1327.199951171875,11395.0,1830.6099853515625,4864.69482421875,16.110000610351562,6.39492882396559,7.5,0.09
2014-04-15,103.75,1300.0,11436.0,1842.97998046875,4870.025390625,15.609999656677246,6.39492882396559,7.5,0.09
2014-04-16,103.76000213623047,1303.0999755859375,11410.0,1862.31005859375,4872.8212890625,14.180000305175781,6.39492882396559,7.5,0.09
2014-04-17,104.30000305175781,1293.4000244140625,11405.0,1864.8499755859375,4896.861328125,13.359999656677246,6.39492882396559,7.5,0.09
2014-04-18,104.30000305175781,1293.4000244140625,11445.0,1864.8499755859375,4896.861328125,13.359999656677246,6.39492882396559,7.5,0.09
2014-04-21,104.37000274658203,1288.0,11445.0,1871.8900146484375,4892.09765625,13.25,6.39492882396559,7.5,0.09
2014-04-22,102.12999725341797,1280.5999755859375,11425.0,1879.550048828125,4898.015625,13.1899995803833,6.39492882396559,7.5,0.09
2014-04-23,101.44000244140625,1284.199951171875,11540.0,1875.3900146484375,4892.95751953125,13.270000457763672,6.39492882396559,7.5,0.09
2014-04-24,101.94000244140625,1290.5,11610.0,1878.6099853515625,4890.888671875,13.319999694824219,6.39492882396559,7.5,0.09
2014-04-25,100.5999984741211,1300.699951171875,11595.0,1863.4000244140625,4897.45263671875,14.0600004196167,6.39492882396559,7.5,0.09
2014-04-28,100.83999633789062,1298.9000244140625,11565.0,1869.4300537109375,4818.5703125,13.970000267028809,6.39492882396559,7.5,0.09
2014-04-29,101.27999877929688,1296.0,11580.0,1878.3299560546875,4819.49365234375,13.710000038146973,6.39492882396559,7.5,0.09
2014-04-30,99.73999786376953,1295.5999755859375,11515.0,1883.949951171875,4839.95751953125,13.40999984741211,6.39492882396559,7.5,0.09
2014-05-01,99.41999816894531,1283.0999755859375,11545.0,1883.6800537109375,4839.95751953125,13.25,6.39492882396559,7.5,0.09
2014-05-02,99.76000213623047,1302.5999755859375,11520.0,1881.1400146484375,4838.5712890625,12.90999984741211,6.39492882396559,7.5,0.09
2014-05-05,99.4800033569336,1309.0,11505.0,1884.6600341796875,4842.31396484375,13.289999961853027,6.39492882396559,7.5,0.09
2014-05-06,99.5,1308.300048828125,11505.0,1867.719970703125,4834.27978515625,13.800000190734863,6.39492882396559,7.5,0.09
2014-05-07,100.7699966430664,1288.5999755859375,11510.0,1878.2099609375,4861.8798828125,13.399999618530273,6.39492882396559,7.5,0.09
2014-05-08,100.26000213623047,1287.4000244140625,11550.0,1875.6300048828125,4860.7001953125,13.430000305175781,6.39492882396559,7.5,0.09
2014-05-09,99.98999786376953,1287.300048828125,11525.0,1878.47998046875,4897.94775390625,12.920000076293945,6.39492882396559,7.5,0.09
2014-05-12,100.58999633789062,1295.5999755859375,11505.0,1896.6500244140625,4912.806640625,12.229999542236328,6.39492882396559,7.5,0.09
2014-05-13,101.69999694824219,1294.5999755859375,11520.0,1897.449951171875,4921.20263671875,12.130000114440918,6.39492882396559,7.5,0.09
2014-05-14,102.37000274658203,1305.699951171875,11485.0,1888.530029296875,4991.44189453125,12.170000076293945,6.39492882396559,7.5,0.09
2014-05-15,101.5,1293.5,11370.0,1870.8499755859375,4991.44189453125,13.170000076293945,6.39492882396559,7.5,0.09
2014-05-16,102.0199966430664,1293.300048828125,11420.0,1877.8599853515625,5031.375,12.4399995803833,6.39492882396559,7.5,0.09
2014-05-19,102.61000061035156,1293.699951171875,11390.0,1885.0799560546875,5014.80126953125,12.420000076293945,6.39492882396559,7.5,0.09
2014-05-20,102.44000244140625,1294.5,11400.0,1872.8299560546875,4895.7646484375,12.960000038146973,6.39492882396559,7.5,0.09
2014-05-21,104.06999969482422,1288.0,11460.0,1888.030029296875,4910.1005859375,11.90999984741211,6.39492882396559,7.5,0.09
2014-05-22,103.73999786376953,1294.9000244140625,11495.0,1892.489990234375,4969.6884765625,12.029999732971191,6.39492882396559,7.5,0.09
2014-05-23,104.3499984741211,1291.5999755859375,11515.0,1900.530029296875,4972.86376953125,11.359999656677246,6.39492882396559,7.5,0.09
2014-05-26,104.3499984741211,1291.5999755859375,11590.0,1900.530029296875,4963.7314453125,11.359999656677246,6.39492882396559,7.5,0.09
2014-05-27,104.11000061035156,1265.4000244140625,11560.0,1911.9100341796875,4963.7314453125,11.510000228881836,6.39492882396559,7.5,0.09
2014-05-28,102.72000122070312,1259.300048828125,11560.0,1909.780029296875,4985.38427734375,11.680000305175781,6.39492882396559,7.5,0.09
2014-05-29,103.58000183105469,1256.300048828125,11630.0,1920.030029296875,4985.38427734375,11.569999694824219,6.39492882396559,7.5,0.09
2014-05-30,102.70999908447266,1245.5999755859375,11595.0,1923.5699462890625,4893.7177734375,11.399999618530273,6.39492882396559,7.5,0.09
2014-06-02,102.47000122070312,1243.699951171875,11660.0,1924.969970703125,4911.8994140625,11.579999923706055,6.39492882396559,7.5,0.1
2014-06-03,102.66000366210938,1244.300048828125,11760.0,1924.239990234375,4941.96435546875,11.869999885559082,6.39492882396559,7.5,0.1
2014-06-04,102.63999938964844,1244.0,11770.0,1927.8800048828125,4932.3720703125,12.079999923706055,6.39492882396559,7.5,0.1
2014-06-05,102.4800033569336,1253.0,11880.0,1940.4599609375,4935.3720703125,11.680000305175781,6.39492882396559,7.5,0.1
2014-06-06,102.66000366210938,1252.0999755859375,11845.0,1949.43994140625,4936.98388671875,10.729999542236328,6.39492882396559,7.5,0.1
